Size(N),Experiment Height(h),Log of Size,Sqrt of Size
869,22.9,6.75855897262001,29.34961669255665
870,22.6,6.772622604990641,29.556725123057866
871,22.7,6.78332520060396,29.715315916207253
872,22.5,6.766422102865493,29.465233750981852
873,23.1,6.784457062637643,29.732137494637012
874,22.9,6.755070191316489,29.298464123567978
875,22.4,6.771935555839602,29.546573405388315
876,22.8,6.776506992372183,29.614185789921695
877,22.9,6.779921907472252,29.664793948382652
878,22.2,6.786265381394427,29.759032242329386
879,23.0,6.780603493321654,29.674905223100545
880,23.4,6.78173843839865,29.691749695833018
881,22.1,6.784457062637643,29.732137494637012
882,21.6,6.775366090936392,29.597297173897484
